drug_a_name,drug_b_name,cell_line,synergy,label
PACLITAXEL,MK-5108,VCAP,13.595371502,1
MK-5108,DASATINIB,SKMEL30,-12.2451078089,0
SUNITINIB,DINACICLIB,NCIH460,10.8769976894,1
MK-5108,MK-8669,CAOV3,35.0040632279,1
DEXAMETHASONE,ABT-888,SKOV3,-3.4331718496,0
VINBLASTINE,TEMOZOLOMIDE,RKO,-24.2709245271,0
PACLITAXEL,DINACICLIB,HT29,-6.2777403858,0
ABT-888,BEZ-235,A2780,29.4397143108,1
TEMOZOLOMIDE,SN-38,NCIH1650,-33.4338569594,0
METHOTREXATE,TEMOZOLOMIDE,ZR751,-65.9197435244,0
SUNITINIB,BEZ-235,SKMES1,20.9231979783,1
CYCLOPHOSPHAMIDE,PD325901,OV90,-12.2633657989,0
METHOTREXATE,MK-2206,PA1,-17.6056542511,0
AZD1775,GELDANAMYCIN,A2780,-3.1198841469,0
VINBLASTINE,DASATINIB,SKMEL30,-34.9381396035,0
MK-4541,TEMOZOLOMIDE,A375,-8.7906431187,0
MK-2206,BEZ-235,RKO,32.2358086696,1
DOXORUBICIN,ERLOTINIB,A427,-5.677250808,0
TEMOZOLOMIDE,MK-8776,T47D,-35.2735852707,0
MK-4541,MK-2206,T47D,-6.3199553558,0
PACLITAXEL,TEMOZOLOMIDE,DLD1,12.0885394299,1
VINBLASTINE,DINACICLIB,DLD1,-6.8900845273,0
MK-4827,OXALIPLATIN,HT29,-2.3338747711,0
L778123,TEMOZOLOMIDE,A2780,10.9268913546,1
OXALIPLATIN,SORAFENIB,A375,-11.9134807395,0
PACLITAXEL,PD325901,DLD1,11.4602881948,1
5-FU,ZOLINZA,HT29,-1.4276838904,0
METHOTREXATE,BORTEZOMIB,UWB1289,-20.2642306928,0
AZD1775,MK-8776,ZR751,36.0181177466,1
DASATINIB,MK-8669,CAOV3,27.5371643758,1
VINORELBINE,ZOLINZA,MDAMB436,-8.0243688605,0
BEZ-235,OXALIPLATIN,T47D,87.7694327117,1
METHOTREXATE,GELDANAMYCIN,NCIH460,-39.7058749589,0
VINBLASTINE,GELDANAMYCIN,LOVO,-28.6243148917,0
METFORMIN,L778123,SKMEL30,10.4545251161,1
METHOTREXATE,TEMOZOLOMIDE,NCIH460,-27.2191237755,0
MK-2206,SN-38,SKMES1,16.0042665026,1
MK-4827,BORTEZOMIB,NCIH23,-4.9512191816,0
CYCLOPHOSPHAMIDE,L778123,RPMI7951,13.3094970834,1
METHOTREXATE,L778123,UWB1289,-0.5146255995,0
L778123,MK-2206,NIHOVCAR3,-3.797381078,0
TEMOZOLOMIDE,MK-8669,SKMES1,41.6253447075,1
GEMCITABINE,MK-4827,HCT116,-12.1563214372,0
CARBOPLATIN,MK-8669,NCIH460,28.5216578827,1
VINBLASTINE,MK-4827,NCIH23,-26.1563480333,0
MK-2206,MK-8776,A2780,24.7553891958,1
DOXORUBICIN,ZOLINZA,NCIH460,13.4051107423,1
ZOLINZA,SUNITINIB,HT144,-10.8423333126,0
MK-4541,METHOTREXATE,SW837,-9.966294979,0
MK-8669,BEZ-235,MDAMB436,37.140628468,1
MK-4827,MK-2206,ES2,-0.1430893356,0
ETOPOSIDE,SORAFENIB,HT29,-5.5006448691,0
CARBOPLATIN,PD325901,RPMI7951,-0.679702412,0
ABT-888,MK-8776,VCAP,-9.2696932831,0
VINBLASTINE,GELDANAMYCIN,UWB1289,-32.1082134831,0
5-FU,AZD1775,VCAP,-0.9983275325,0
MRK-003,L778123,NCIH460,-1.8547396802,0
TEMOZOLOMIDE,DINACICLIB,ZR751,-44.0605226516,0
SUNITINIB,SORAFENIB,NIHOVCAR3,-11.8728758142,0
DEXAMETHASONE,BORTEZOMIB,RKO,18.8238761256,1
5-FU,MK-8669,PA1,41.3012141448,1
MITOMYCINE,ERLOTINIB,DLD1,-21.7534836967,0
PD325901,BEZ-235,A2780,55.255421255,1
METFORMIN,SUNITINIB,VCAP,14.6940326286,1
MRK-003,TEMOZOLOMIDE,SKOV3,-1.1245270788,0
CYCLOPHOSPHAMIDE,GELDANAMYCIN,T47D,-25.0594451844,0
5-FU,ZOLINZA,HT144,-4.3947256659,0
L778123,PD325901,NIHOVCAR3,-17.2832225617,0
MRK-003,ERLOTINIB,KPL1,24.3783606641,1
GELDANAMYCIN,BEZ-235,T47D,155.3899654016,1
CARBOPLATIN,MK-8669,KPL1,51.6406703607,1
VINBLASTINE,ABT-888,NCIH460,-15.3524988107,0
5-FU,PD325901,NCIH460,16.3321845736,1
CARBOPLATIN,TEMOZOLOMIDE,NCIH23,-35.4502936264,0
PD325901,BORTEZOMIB,KPL1,19.1473744364,1
LAPATINIB,OXALIPLATIN,NCIH460,-45.6598878074,0
PD325901,BORTEZOMIB,ZR751,-3.1382402443,0
SUNITINIB,BEZ-235,NIHOVCAR3,16.6835806959,1
DASATINIB,BEZ-235,T47D,169.7166583401,1
PACLITAXEL,SUNITINIB,SW620,15.3523894212,1
ERLOTINIB,OXALIPLATIN,UWB1289,11.1975192378,1
METHOTREXATE,ZOLINZA,HT29,-16.4808815638,0
DEXAMETHASONE,AZD1775,ZR751,17.6388729774,1
ZOLINZA,MK-2206,UWB1289,40.8789264773,1
MK-4541,OXALIPLATIN,OV90,-24.0421875981,0
METFORMIN,DASATINIB,HCT116,-31.910733374,0
VINORELBINE,ABT-888,A375,10.3218883659,1
GEMCITABINE,GELDANAMYCIN,NCIH2122,-8.9669823315,0
ZOLINZA,MK-4827,KPL1,-1.8746728541,0
DEXAMETHASONE,LAPATINIB,ES2,-22.3139634302,0
PACLITAXEL,MK-5108,MDAMB436,18.760072272,1
MRK-003,MK-5108,NIHOVCAR3,15.8928346912,1
AZD1775,LAPATINIB,HT144,15.7587566202,1
METHOTREXATE,BORTEZOMIB,SW620,-11.858795195,0
PACLITAXEL,MK-2206,NCIH460,48.0833184397,1
L778123,ETOPOSIDE,NIHOVCAR3,-28.472730534,0
ERLOTINIB,GELDANAMYCIN,A2058,19.8583289401,1
GELDANAMYCIN,TOPOTECAN,NCIH1650,-15.3016542222,0
VINORELBINE,PD325901,ES2,-2.207908899,0
TEMOZOLOMIDE,MK-2206,ES2,-6.6857724559,0
ZOLINZA,MK-4827,HT29,12.0261261714,1
VINORELBINE,DINACICLIB,HT29,-29.9255985349,0
MRK-003,MK-4827,ZR751,10.2534081588,1
ETOPOSIDE,DINACICLIB,PA1,-11.8851277902,0
CARBOPLATIN,TEMOZOLOMIDE,SW837,-27.0532930436,0
ETOPOSIDE,SORAFENIB,RPMI7951,-10.8497208608,0
VINBLASTINE,BORTEZOMIB,RKO,-10.5682144854,0
MK-8669,TOPOTECAN,DLD1,18.8938288441,1
DOXORUBICIN,AZD1775,NCIH23,-4.4136131694,0
SUNITINIB,MK-8669,RPMI7951,20.1771052496,1
MRK-003,BORTEZOMIB,HCT116,-1.9958794154,0
ETOPOSIDE,MK-2206,A2780,25.0945586642,1
MK-2206,DASATINIB,UWB1289,17.5042642733,1
MITOMYCINE,ZOLINZA,NIHOVCAR3,-2.4363154533,0
SN-38,DINACICLIB,CAOV3,-15.4235903307,0
MK-5108,MK-8669,SKOV3,28.4446440246,1
SUNITINIB,MK-8776,NCIH23,-7.6008247917,0
5-FU,DINACICLIB,SKMEL30,-96.6171400256,0
BEZ-235,SORAFENIB,HT144,12.9873357205,1
ZOLINZA,GELDANAMYCIN,NCIH23,-47.9587244269,0
5-FU,BORTEZOMIB,UWB1289,-15.0307501791,0
TEMOZOLOMIDE,BORTEZOMIB,MDAMB436,-2.6875531583,0
LAPATINIB,MK-8669,KPL1,39.9842978279,1
DOXORUBICIN,TEMOZOLOMIDE,UACC62,-18.9433129043,0
METHOTREXATE,BEZ-235,SKMES1,-19.0119468139,0
MK-2206,SORAFENIB,HCT116,30.0466965238,1
TEMOZOLOMIDE,TOPOTECAN,LOVO,-7.7426772372,0
DOXORUBICIN,AZD1775,RPMI7951,-3.7130348119,0
CYCLOPHOSPHAMIDE,GELDANAMYCIN,DLD1,-2.4608124746,0
MK-8669,MK-8776,ES2,60.1576114773,1
CARBOPLATIN,DINACICLIB,NIHOVCAR3,-15.0486602299,0
PD325901,BEZ-235,OV90,38.8582600746,1
TEMOZOLOMIDE,AZD1775,VCAP,24.6342147569,1
GEMCITABINE,TEMOZOLOMIDE,SW837,-6.308039911,0
VINORELBINE,SUNITINIB,UWB1289,-0.951918272,0
ABT-888,OXALIPLATIN,UWB1289,-14.0504237877,0
ERLOTINIB,TOPOTECAN,SKMEL30,33.8295741424,1
PD325901,GELDANAMYCIN,A427,13.7253757709,1
MITOMYCINE,MK-8669,HCT116,-0.0484991622,0
VINBLASTINE,DASATINIB,SKMES1,-9.6580911459,0
DEXAMETHASONE,DASATINIB,KPL1,49.2982281109,1
LAPATINIB,ERLOTINIB,DLD1,19.9833909358,1
GELDANAMYCIN,MK-8776,A427,23.0375795535,1
TEMOZOLOMIDE,MK-8776,SKMES1,-4.3029255313,0
DEXAMETHASONE,L778123,CAOV3,31.4801692902,1
MITOMYCINE,DASATINIB,HCT116,11.5020954649,1
BORTEZOMIB,MK-8669,A427,-2.7044142653,0
AZD1775,DASATINIB,UACC62,29.4771209876,1
MK-5108,DINACICLIB,MDAMB436,-3.5207983029,0
VINBLASTINE,ERLOTINIB,OV90,19.7059817627,1
ZOLINZA,MK-5108,T47D,36.608274656,1
LAPATINIB,DINACICLIB,A427,-10.5860053702,0
MRK-003,BEZ-235,MDAMB436,29.4334246448,1
PACLITAXEL,MK-5108,HCT116,19.724806422,1
MRK-003,SN-38,RKO,15.0745471467,1
L778123,PD325901,A375,18.0986584425,1
MK-5108,DINACICLIB,T47D,-12.408019343,0
BEZ-235,DINACICLIB,ES2,16.349456308,1
GEMCITABINE,MK-4827,SKMES1,-17.4627696639,0
ZOLINZA,GELDANAMYCIN,RKO,-12.0037363442,0
L778123,ZOLINZA,CAOV3,13.5537689186,1
MRK-003,SUNITINIB,A2058,16.21105833455,1
ERLOTINIB,MK-8669,KPL1,46.7558286107,1
TOPOTECAN,SORAFENIB,T47D,-12.7536373619,0
MK-4541,GELDANAMYCIN,SW837,-6.2719681897,0
CARBOPLATIN,SORAFENIB,NIHOVCAR3,-35.3598095421,0
VINORELBINE,ERLOTINIB,SW837,37.3880308779,1
MRK-003,LAPATINIB,HT29,40.66974990345,1
VINBLASTINE,MK-4827,NIHOVCAR3,-16.8730401385,0
VINBLASTINE,BEZ-235,NCIH2122,-21.717347556,0
TEMOZOLOMIDE,DASATINIB,NCIH23,-9.342896723,0
AZD1775,MK-2206,A2058,18.8447263032,1
MITOMYCINE,MK-5108,SKMEL30,-7.4010298333,0
MRK-003,MK-2206,SKOV3,35.8855923356,1
MRK-003,ERLOTINIB,NIHOVCAR3,40.791648045,1
MITOMYCINE,ERLOTINIB,NIHOVCAR3,11.9269564484,1
PACLITAXEL,DASATINIB,NCIH520,57.0736160448,1
MK-4541,TEMOZOLOMIDE,NCIH23,-15.4219265886,0
ZOLINZA,GELDANAMYCIN,SKMES1,-28.677480901,0
PACLITAXEL,AZD1775,LOVO,10.2256674496,1
BORTEZOMIB,SN-38,SKMES1,-10.9502671364,0
LAPATINIB,BEZ-235,PA1,39.8970310061,1
VINORELBINE,BEZ-235,SKMEL30,32.384809588,1
TEMOZOLOMIDE,OXALIPLATIN,DLD1,-10.6006786462,0
DASATINIB,SN-38,NCIH520,47.2907730282,1
MK-5108,MK-8669,RKO,18.7237973858,1
DASATINIB,ABT-888,NIHOVCAR3,56.5490333696,1
PACLITAXEL,DASATINIB,A375,39.523763222,1
METHOTREXATE,PD325901,NCIH2122,-2.111996235,0
CARBOPLATIN,MK-4827,ES2,-11.7819106785,0
DOXORUBICIN,BEZ-235,NCIH23,-12.1639239352,0
MK-5108,MK-2206,LOVO,16.5020831345,1
PD325901,BEZ-235,HT144,43.9673596181,1
MK-8669,DINACICLIB,ZR751,13.781349722,1
DASATINIB,MK-8776,NIHOVCAR3,74.0084062296,1
L778123,MK-2206,LOVO,23.9147653199,1
METHOTREXATE,SUNITINIB,A375,-11.796620175,0
MK-2206,PD325901,A2058,45.152886764,1
AZD1775,DINACICLIB,NIHOVCAR3,-1.9974846374,0
CYCLOPHOSPHAMIDE,MK-5108,UACC62,15.6200456057,1
AZD1775,MK-8776,HT29,57.1539211835,1
MK-4827,GELDANAMYCIN,VCAP,17.3168148781,1
VINORELBINE,BEZ-235,DLD1,20.994789261,1
DASATINIB,DINACICLIB,A2780,29.1960155025,1
DEXAMETHASONE,MK-8776,T47D,-42.4264956259,0
VINBLASTINE,ZOLINZA,A427,-35.8203169521,0
TEMOZOLOMIDE,MK-8776,KPL1,-17.3344204378,0
PACLITAXEL,BEZ-235,MDAMB436,10.3084531768,1
ZOLINZA,DASATINIB,LOVO,12.4864860706,1
ZOLINZA,ERLOTINIB,LOVO,16.2068743507,1
ZOLINZA,TEMOZOLOMIDE,HCT116,-5.9518227151,0
TEMOZOLOMIDE,PD325901,KPL1,-17.7324355952,0
VINBLASTINE,DASATINIB,NCIH2122,-99.66705551,0
L778123,OXALIPLATIN,OV90,-9.1797272733,0
CARBOPLATIN,SUNITINIB,SKOV3,-3.5699542831,0
TEMOZOLOMIDE,SORAFENIB,HCT116,10.8974447261,1
VINORELBINE,ERLOTINIB,KPL1,-3.2432157206,0
PACLITAXEL,SUNITINIB,HCT116,10.1971121469,1
VINBLASTINE,L778123,SW837,44.2682198085,1
LAPATINIB,SN-38,NCIH460,72.7957823326,1
LAPATINIB,MK-2206,SW620,-5.904608092749999,0
DOXORUBICIN,ERLOTINIB,RPMI7951,-7.2039851116,0
METFORMIN,BEZ-235,NCIH460,14.2724189144,1
VINBLASTINE,AZD1775,ZR751,-4.5311920558,0
METFORMIN,ERLOTINIB,NCIH1650,-12.1405549912,0
ETOPOSIDE,MK-2206,RKO,49.94340541,1
DEXAMETHASONE,SUNITINIB,DLD1,12.5136608792,1
MK-5108,BORTEZOMIB,A2058,-4.6284858456,0
VINORELBINE,MK-8776,LOVO,10.657102158,1
L778123,DINACICLIB,SW837,-3.5999349653,0
MK-4541,PACLITAXEL,A2780,-3.9886152215,0
SUNITINIB,MK-8669,A375,30.1406226081,1
CARBOPLATIN,DINACICLIB,NCIH23,-11.7833412793,0
TEMOZOLOMIDE,SN-38,UACC62,-5.2356661945,0
MK-4541,VINORELBINE,NIHOVCAR3,-34.517921513,0
SUNITINIB,SN-38,SKMES1,18.5849322091,1
ETOPOSIDE,MK-8669,KPL1,47.4130263671,1
MK-2206,MK-8669,A2058,51.3989688437,1
METHOTREXATE,ZOLINZA,SKMEL30,-18.8616971691,0
GEMCITABINE,MK-8776,RPMI7951,-0.8428112403,0
MK-4827,TOPOTECAN,NCIH520,15.0054587836,1
ETOPOSIDE,BEZ-235,NIHOVCAR3,-4.3257900286,0
MK-4827,SN-38,HCT116,30.37177161095,1
AZD1775,PD325901,KPL1,13.3057194241,1
LAPATINIB,SN-38,RPMI7951,54.4185035852,1
L778123,ETOPOSIDE,KPL1,-3.3110695224,0
MK-4541,GEMCITABINE,VCAP,29.7119980394,1
MK-8669,DINACICLIB,A2780,31.9279405803,1
DASATINIB,OXALIPLATIN,RKO,-4.4362240081,0
LAPATINIB,SN-38,SKOV3,26.4086781191,1
BORTEZOMIB,SN-38,NCIH460,12.9078169749,1
MRK-003,MK-2206,A2058,18.1673798167,1
5-FU,BEZ-235,DLD1,13.0355787543,1
CARBOPLATIN,DINACICLIB,NCIH460,-6.2593018487,0
5-FU,BORTEZOMIB,A375,-2.4053347825,0
CARBOPLATIN,MK-8669,NCIH2122,10.7236678573,1
DOXORUBICIN,GELDANAMYCIN,LOVO,-8.2426738921,0
MK-8669,SORAFENIB,ES2,15.6755709467,1
METHOTREXATE,DASATINIB,HT29,-14.4501167207,0
CYCLOPHOSPHAMIDE,ZOLINZA,HT29,12.0688922745,1
MITOMYCINE,BORTEZOMIB,ZR751,-34.0545743932,0
L778123,TOPOTECAN,ZR751,11.3831517696,1
MK-5108,MK-2206,UACC62,14.8507331915,1
DASATINIB,DINACICLIB,NCIH2122,-22.6165921404,0
5-FU,DINACICLIB,A2780,-8.1611286386,0
DEXAMETHASONE,ERLOTINIB,KPL1,13.3138635909,1
VINORELBINE,MK-5108,NCIH23,-14.3339426993,0
ERLOTINIB,DINACICLIB,SW620,-8.8669556387,0
CYCLOPHOSPHAMIDE,PD325901,A375,-2.1504430519,0
METHOTREXATE,AZD1775,UWB1289,23.2980310309,1
ERLOTINIB,MK-8669,T47D,54.6547908119,1
METFORMIN,ERLOTINIB,NIHOVCAR3,-14.0258732577,0
TEMOZOLOMIDE,MK-4827,HCT116,59.64264906895,1
SUNITINIB,TOPOTECAN,NCIH520,-0.9329094573,0
CARBOPLATIN,ABT-888,OV90,-5.3178173467,0
MRK-003,BORTEZOMIB,OV90,-7.3122581272,0
CARBOPLATIN,BORTEZOMIB,NCIH23,-13.6682476242,0
5-FU,MK-8669,KPL1,11.1882098652,1
PACLITAXEL,BEZ-235,DLD1,17.76669248,1
MK-2206,DASATINIB,KPL1,27.9978598675,1
METHOTREXATE,MK-5108,SKMES1,-7.5061740636,0
DOXORUBICIN,SORAFENIB,NCIH460,-1.6447921923,0
PD325901,ABT-888,HCT116,-1.6895546083,0
METFORMIN,SUNITINIB,HT144,-0.3234606265,0
METFORMIN,BORTEZOMIB,KPL1,-31.5366483842,0
ERLOTINIB,ABT-888,NCIH520,-3.7686561903,0
GEMCITABINE,PD325901,RPMI7951,-3.6238546214,0
MK-2206,GELDANAMYCIN,NCIH1650,24.9028025871,1
MITOMYCINE,LAPATINIB,UACC62,18.7309371996,1
MK-5108,MK-8669,NCIH460,-10.615308851,0
LAPATINIB,TOPOTECAN,ZR751,42.3378974775,1
SUNITINIB,LAPATINIB,KPL1,14.6893828183,1
ABT-888,MK-8776,NCIH1650,-3.2639424966,0
ZOLINZA,AZD1775,A2058,-5.765572483,0
VINORELBINE,DASATINIB,SKOV3,25.0526886993,1
LAPATINIB,MK-4827,SKMES1,10.6041318055,1
AZD1775,MK-8776,SW837,28.5183042754,1
MRK-003,PACLITAXEL,DLD1,25.9486008647,1
METHOTREXATE,TEMOZOLOMIDE,T47D,-70.7678786331,0
MITOMYCINE,PD325901,DLD1,18.1994405577,1
SN-38,MK-8776,SW620,-8.9317409423,0
MRK-003,GELDANAMYCIN,NCIH460,-8.3836123248,0
SUNITINIB,MK-2206,NIHOVCAR3,12.9926822398,1
BEZ-235,OXALIPLATIN,SKMES1,15.9223385953,1
BORTEZOMIB,MK-8776,NCIH2122,-44.4573198675,0
MITOMYCINE,SUNITINIB,NCIH2122,-1.7493304285,0
L778123,BEZ-235,HT144,35.9706855002,1
TEMOZOLOMIDE,MK-4827,T47D,44.9931565343,1
GELDANAMYCIN,MK-8776,T47D,-34.9823524075,0
ETOPOSIDE,DINACICLIB,VCAP,-7.2894453621,0
MK-2206,BEZ-235,OV90,49.5124526347,1
AZD1775,ERLOTINIB,HT144,13.3070317412,1
AZD1775,MK-8776,PA1,40.8602386167,1
ABT-888,MK-8776,NCIH2122,-7.6007349185,0
L778123,ETOPOSIDE,MDAMB436,12.859307117,1
BORTEZOMIB,TOPOTECAN,NCIH1650,-37.3530637488,0
MRK-003,PACLITAXEL,HCT116,10.6350030051,1
METHOTREXATE,PD325901,RKO,-26.8626109811,0
ERLOTINIB,PD325901,SKMES1,26.8547976499,1
MITOMYCINE,MK-8669,A2780,20.4161491773,1
SUNITINIB,MK-2206,A375,12.95868026985,1
MRK-003,DASATINIB,SW837,31.778080159,1
MK-4541,DINACICLIB,KPL1,12.3328244472,1
GEMCITABINE,DASATINIB,CAOV3,-0.6113663925,0
METHOTREXATE,MK-2206,A427,20.7989077504,1
CYCLOPHOSPHAMIDE,TEMOZOLOMIDE,SKMES1,12.7993500665,1
MK-4541,LAPATINIB,A427,-29.1438004506,0
ZOLINZA,TOPOTECAN,VCAP,23.4385470478,1
METFORMIN,MK-5108,NCIH520,-1.0704940527,0
ABT-888,SORAFENIB,NCIH460,11.6129978832,1
L778123,OXALIPLATIN,UACC62,-12.0154293055,0
TEMOZOLOMIDE,BEZ-235,A375,24.8254176664,1
SUNITINIB,PD325901,NIHOVCAR3,16.1201443189,1
TEMOZOLOMIDE,MK-4827,PA1,91.32209580775,1
MITOMYCINE,MK-8776,NIHOVCAR3,77.6612940826,1
METFORMIN,BEZ-235,OV90,19.258571457,1
CYCLOPHOSPHAMIDE,GELDANAMYCIN,SW837,-3.7189683843,0
ABT-888,SORAFENIB,DLD1,12.0590076803,1
MRK-003,CARBOPLATIN,NIHOVCAR3,-2.8917045551,0
VINBLASTINE,ERLOTINIB,UACC62,32.314825241,1
METFORMIN,LAPATINIB,SW837,15.4489042263,1
