drug_a_name,drug_b_name,cell_line,synergy,label
GEMCITABINE,MK-8776,HT29,74.56856168725,1
MRK-003,PD325901,LOVO,20.9232619799,1
MITOMYCINE,BORTEZOMIB,UACC62,-10.9347968866,0
ZOLINZA,DASATINIB,NCIH520,19.2354165275,1
VINBLASTINE,ZOLINZA,OV90,-7.3375051427,0
MRK-003,DOXORUBICIN,HT144,10.4442050197,1
ERLOTINIB,BEZ-235,NCIH23,30.3951784677,1
5-FU,DINACICLIB,A2780,-8.1611286386,0
ETOPOSIDE,SORAFENIB,HT29,-5.5006448691,0
MRK-003,DASATINIB,ZR751,-8.1184115265,0
DASATINIB,SORAFENIB,HT29,22.0320942353,1
MK-5108,SORAFENIB,NCIH2122,-10.3399405499,0
ETOPOSIDE,DINACICLIB,NCIH520,-6.4198188464,0
OXALIPLATIN,MK-8776,A2058,18.8156036485,1
L778123,ETOPOSIDE,ZR751,20.0084293504,1
DEXAMETHASONE,ZOLINZA,NCIH1650,14.952312395,1
ETOPOSIDE,ABT-888,PA1,-4.7541158276,0
GELDANAMYCIN,OXALIPLATIN,NCIH520,-0.4557787068,0
ZOLINZA,BEZ-235,SW837,24.7654928484,1
VINBLASTINE,PD325901,SKMEL30,-1.9239518231,0
ETOPOSIDE,DASATINIB,KPL1,26.2713663358,1
CARBOPLATIN,MK-8669,A2780,18.6461321379,1
METHOTREXATE,PD325901,PA1,-18.9503069958,0
L778123,TEMOZOLOMIDE,HCT116,-9.1559652862,0
DOXORUBICIN,MK-4827,SKMES1,-0.733084804,0
MRK-003,5-FU,ZR751,-7.1686781797,0
METFORMIN,MK-8669,NCIH1650,12.3058906835,1
MK-5108,MK-8669,UWB1289,17.7954748256,1
GEMCITABINE,BORTEZOMIB,NCIH460,-21.3029384062,0
BEZ-235,SN-38,SKMEL30,22.0363048714,1
TEMOZOLOMIDE,MK-8669,RKO,31.3891465131,1
ZOLINZA,GELDANAMYCIN,OV90,-5.8553791452,0
MK-5108,DASATINIB,HT29,23.6865781924,1
SUNITINIB,LAPATINIB,SKMEL30,21.1673664686,1
CARBOPLATIN,MK-5108,DLD1,-2.5251718628,0
PD325901,TOPOTECAN,NIHOVCAR3,10.4657128982,1
L778123,BEZ-235,A2780,17.3161250912,1
MRK-003,DASATINIB,SW837,31.778080159,1
TEMOZOLOMIDE,PD325901,A427,43.1925711501,1
ABT-888,TOPOTECAN,ZR751,-3.7912714445,0
MK-8669,MK-8776,MDAMB436,31.0941428822,1
CYCLOPHOSPHAMIDE,BEZ-235,RPMI7951,20.1160191471,1
MITOMYCINE,ABT-888,NCIH460,-1.078542352,0
VINORELBINE,SUNITINIB,RKO,-11.6061508245,0
MK-8669,BEZ-235,RPMI7951,75.2988228809,1
PACLITAXEL,ERLOTINIB,A2780,-8.9484491384,0
SUNITINIB,ERLOTINIB,KPL1,12.0625529076,1
TEMOZOLOMIDE,ERLOTINIB,MDAMB436,-3.4836386754,0
GEMCITABINE,MK-8776,ZR751,26.8378988771,1
DEXAMETHASONE,BEZ-235,NCIH1650,27.2335107453,1
5-FU,GELDANAMYCIN,PA1,-1.7946121876,0
ZOLINZA,TOPOTECAN,ZR751,12.2237910867,1
MRK-003,MITOMYCINE,ZR751,-7.965652086,0
ERLOTINIB,BORTEZOMIB,A427,-15.6541016546,0
PACLITAXEL,MK-2206,ZR751,38.9842151994,1
SUNITINIB,TEMOZOLOMIDE,RPMI7951,-15.6925421112,0
ETOPOSIDE,ERLOTINIB,LOVO,42.4260155422,1
VINBLASTINE,BORTEZOMIB,HCT116,-13.9822226375,0
VINORELBINE,MK-4827,A427,-20.3432162946,0
MK-4827,DASATINIB,UWB1289,10.3599457629,1
SUNITINIB,MK-8776,SW837,-4.9687522703,0
MK-4541,BORTEZOMIB,ES2,15.7698924229,1
METHOTREXATE,MK-8776,ZR751,-20.98974582,0
CYCLOPHOSPHAMIDE,ERLOTINIB,UWB1289,19.9555164607,1
MK-4827,DASATINIB,KPL1,15.1249326352,1
ABT-888,BEZ-235,SKMEL30,29.5227609176,1
SUNITINIB,AZD1775,NCIH2122,-6.890146387,0
MITOMYCINE,SUNITINIB,T47D,-10.3595016504,0
5-FU,DINACICLIB,VCAP,14.4219939992,1
L778123,MK-4827,HT144,-53.4817714843,0
5-FU,ZOLINZA,NCIH23,-15.1056763586,0
DASATINIB,SORAFENIB,ZR751,21.3493315306,1
CYCLOPHOSPHAMIDE,MK-5108,SKMEL30,20.0423271198,1
ZOLINZA,ERLOTINIB,SW620,-10.6555058842,0
MK-4541,METHOTREXATE,A2780,-0.7233225231,0
ERLOTINIB,MK-8669,NCIH23,40.5840988372,1
MK-4541,SN-38,MDAMB436,-3.3101034972,0
CYCLOPHOSPHAMIDE,LAPATINIB,RKO,-8.7008448807,0
PACLITAXEL,MK-8669,VCAP,41.0674989024,1
MK-5108,MK-2206,HCT116,19.872203839,1
SUNITINIB,ERLOTINIB,A2058,14.1014713788,1
MK-5108,PD325901,NCIH23,21.1288120569,1
DASATINIB,TOPOTECAN,ZR751,-0.0467316861,0
VINBLASTINE,TEMOZOLOMIDE,OV90,-28.9781054746,0
PACLITAXEL,ERLOTINIB,RKO,-13.5630086402,0
5-FU,ZOLINZA,RKO,11.0483406888,1
TEMOZOLOMIDE,PD325901,NCIH2122,-1.6037638048,0
METHOTREXATE,ZOLINZA,SKMES1,-11.2349258717,0
SUNITINIB,BEZ-235,SW837,18.053698275,1
CYCLOPHOSPHAMIDE,MK-8776,OV90,10.0552276084,1
METHOTREXATE,MK-4827,SW837,-7.7372089269,0
AZD1775,GELDANAMYCIN,SKMES1,-0.4644878013,0
VINBLASTINE,DASATINIB,ES2,11.1841625432,1
MK-4541,TOPOTECAN,NCIH520,11.9383691718,1
MK-2206,BORTEZOMIB,ES2,-2.450428918,0
DOXORUBICIN,DINACICLIB,UWB1289,-9.7111992786,0
TEMOZOLOMIDE,MK-8776,A427,91.0608137969,1
MK-4541,MK-8669,HT144,-10.2975688922,0
PACLITAXEL,ZOLINZA,HT29,27.0331902175,1
VINBLASTINE,DASATINIB,SKMES1,-9.6580911459,0
MK-4827,SN-38,OV90,14.1924417049,1
L778123,TOPOTECAN,ES2,15.2574321861,1
PACLITAXEL,ABT-888,SW837,-20.9617889196,0
PACLITAXEL,SORAFENIB,PA1,-4.6192545679,0
5-FU,TEMOZOLOMIDE,UWB1289,17.2143034977,1
METHOTREXATE,DINACICLIB,HT29,-3.3151253883,0
AZD1775,OXALIPLATIN,OV90,-21.6167109338,0
DASATINIB,GELDANAMYCIN,ES2,-5.7423832232,0
VINORELBINE,ZOLINZA,A2058,-40.1043144117,0
BEZ-235,SN-38,HT144,28.4469513443,1
METHOTREXATE,L778123,RPMI7951,-10.5579111855,0
VINBLASTINE,ERLOTINIB,SW837,54.2568855245,1
METFORMIN,MK-2206,SW837,-7.802051956,0
METHOTREXATE,ZOLINZA,KPL1,-30.8034395941,0
MK-2206,SORAFENIB,KPL1,16.7676576486,1
MK-4827,DINACICLIB,NCIH520,-11.5718341594,0
CYCLOPHOSPHAMIDE,GELDANAMYCIN,NIHOVCAR3,-5.3041450661,0
METHOTREXATE,MK-2206,CAOV3,19.1044296564,1
L778123,MK-2206,T47D,14.5888026289,1
TEMOZOLOMIDE,MK-8669,HCT116,17.1556197481,1
GEMCITABINE,MK-4827,A427,-3.1006066135,0
CARBOPLATIN,MK-8669,SW620,20.4302389635,1
VINBLASTINE,MK-4827,A427,-12.0634451057,0
MK-2206,MK-8776,HT29,32.5672769216,1
DOXORUBICIN,ZOLINZA,HT29,24.5682832335,1
ZOLINZA,SUNITINIB,A2780,-7.6225117578,0
MK-4541,MK-2206,LOVO,12.9531956347,1
MK-8669,MK-8776,A427,31.2710519802,1
MK-4827,MK-8669,VCAP,34.6981351544,1
ETOPOSIDE,PD325901,SKMEL30,13.8289906266,1
CARBOPLATIN,PD325901,SKMES1,-32.529721901,0
ABT-888,OXALIPLATIN,ES2,-16.8221313331,0
VINBLASTINE,GELDANAMYCIN,NCIH23,-24.9105824636,0
5-FU,AZD1775,SKMES1,33.3532583969,1
MRK-003,METHOTREXATE,SKOV3,12.2044323069,1
TEMOZOLOMIDE,DINACICLIB,LOVO,-11.8963907676,0
SUNITINIB,SN-38,UWB1289,-4.7966757833,0
DEXAMETHASONE,BORTEZOMIB,A375,19.5398302616,1
5-FU,MK-5108,NIHOVCAR3,10.0174393355,1
MITOMYCINE,ERLOTINIB,VCAP,-12.4709169807,0
PD325901,BEZ-235,VCAP,33.061269817,1
METFORMIN,ZOLINZA,NCIH460,-4.5844542115,0
MRK-003,VINBLASTINE,MDAMB436,33.2240485064,1
CYCLOPHOSPHAMIDE,ERLOTINIB,UACC62,-5.741127918,0
5-FU,TEMOZOLOMIDE,UACC62,-11.9686244337,0
L778123,SN-38,RPMI7951,12.4272146414,1
MRK-003,GELDANAMYCIN,OV90,-16.9391645262,0
GELDANAMYCIN,BEZ-235,SKOV3,-1.1115873444,0
CARBOPLATIN,MK-8669,SKMEL30,38.9800474918,1
TOPOTECAN,SORAFENIB,SW837,-7.7301088309,0
5-FU,MK-8776,NCIH1650,14.0408932059,1
CARBOPLATIN,TEMOZOLOMIDE,HT144,-33.5020279855,0
PD325901,DASATINIB,NCIH460,36.1698448597,1
LAPATINIB,SN-38,DLD1,25.0300403104,1
PD325901,DASATINIB,VCAP,-21.2583156879,0
SUNITINIB,BEZ-235,SKMEL30,16.7754503503,1
DASATINIB,BEZ-235,ES2,23.3144970308,1
PACLITAXEL,TEMOZOLOMIDE,ZR751,-18.5717516402,0
ERLOTINIB,OXALIPLATIN,SKMEL30,-10.2249342943,0
MITOMYCINE,ABT-888,A427,-2.5024052621,0
DEXAMETHASONE,AZD1775,OV90,-0.185920137,0
ZOLINZA,MK-2206,VCAP,38.0943699851,1
MK-4541,PD325901,UACC62,-7.9865086573,0
METFORMIN,ERLOTINIB,ES2,-7.6110443722,0
VINORELBINE,ABT-888,A2058,-14.7294813578,0
GEMCITABINE,GELDANAMYCIN,NCIH460,-12.442645427,0
ZOLINZA,MK-4827,LOVO,-3.6408070192,0
DEXAMETHASONE,L778123,HT144,-3.9502019018,0
PACLITAXEL,MK-8669,NCIH2122,-6.305824099,0
MRK-003,OXALIPLATIN,KPL1,-4.6540671025,0
AZD1775,MK-2206,A2780,21.0815985773,1
METHOTREXATE,DINACICLIB,ES2,-5.7158959185,0
PACLITAXEL,MK-4827,NIHOVCAR3,-42.1914003228,0
L778123,ETOPOSIDE,ES2,-11.7838526798,0
ERLOTINIB,GELDANAMYCIN,A2780,-0.6061039691,0
GELDANAMYCIN,TOPOTECAN,NCIH1650,-15.3016542222,0
VINORELBINE,MK-8776,RPMI7951,-15.4764052125,0
TEMOZOLOMIDE,LAPATINIB,RKO,-7.3663995486,0
ZOLINZA,MK-4827,KPL1,-1.8746728541,0
VINORELBINE,DINACICLIB,ES2,11.4558670109,1
MRK-003,MK-8776,UWB1289,-3.8707627193,0
ETOPOSIDE,DASATINIB,LOVO,60.799970366,1
CARBOPLATIN,TEMOZOLOMIDE,PA1,-7.9480851968,0
ETOPOSIDE,SORAFENIB,ES2,-7.3829168039,0
VINBLASTINE,BORTEZOMIB,A427,-12.9115045157,0
MRK-003,AZD1775,VCAP,-3.714111355,0
DOXORUBICIN,AZD1775,OV90,-13.9228358531,0
SUNITINIB,MK-8669,UACC62,37.7773847215,1
MRK-003,DASATINIB,NCIH2122,-25.4257940562,0
ETOPOSIDE,LAPATINIB,A2780,27.2908839852,1
MK-2206,DINACICLIB,SW837,-0.4483065336,0
MK-2206,ABT-888,NCIH2122,11.7346933243,1
SN-38,DINACICLIB,NCIH460,-14.3028386794,0
MK-5108,SN-38,A427,-5.384330356,0
SUNITINIB,MK-8776,HT29,14.5182862535,1
5-FU,DINACICLIB,NCIH460,-7.4209805584,0
BEZ-235,SORAFENIB,RKO,14.222768957,1
ZOLINZA,GELDANAMYCIN,NCIH520,-13.9926749957,0
5-FU,BORTEZOMIB,NIHOVCAR3,-9.8950364655,0
TEMOZOLOMIDE,BEZ-235,NCIH460,23.5558071008,1
LAPATINIB,OXALIPLATIN,DLD1,-2.5941243338,0
DOXORUBICIN,TEMOZOLOMIDE,SKOV3,-8.7972382083,0
METHOTREXATE,BORTEZOMIB,T47D,-34.9957412569,0
MK-2206,SORAFENIB,SW837,24.8742412038,1
TEMOZOLOMIDE,SORAFENIB,NCIH1650,-5.4752479862,0
DOXORUBICIN,AZD1775,RPMI7951,-3.7130348119,0
CYCLOPHOSPHAMIDE,ERLOTINIB,MDAMB436,-5.4105056742,0
MK-8669,SORAFENIB,HT29,13.6123860533,1
CARBOPLATIN,ERLOTINIB,OV90,-11.5626831931,0
PD325901,BORTEZOMIB,SKMEL30,-1.9172872169,0
TEMOZOLOMIDE,ABT-888,VCAP,-32.8791823864,0
GEMCITABINE,TEMOZOLOMIDE,SW837,-6.308039911,0
VINORELBINE,SUNITINIB,HT29,-20.32413561,0
ABT-888,SN-38,HCT116,23.4259149096,1
ERLOTINIB,TOPOTECAN,A2058,20.6595466511,1
PD325901,MK-8669,A427,15.3376749562,1
MITOMYCINE,MK-8776,CAOV3,31.72251855015,1
VINBLASTINE,DASATINIB,HT144,-39.597134453,0
DEXAMETHASONE,BORTEZOMIB,UWB1289,-7.7727486104,0
LAPATINIB,GELDANAMYCIN,SW620,-5.0161914877,0
GELDANAMYCIN,DINACICLIB,VCAP,-2.6397144164,0
TEMOZOLOMIDE,MK-8669,UACC62,28.0074287944,1
DEXAMETHASONE,GELDANAMYCIN,HT29,-6.7124987273,0
MITOMYCINE,DASATINIB,ZR751,16.6564666969,1
BORTEZOMIB,MK-8669,NCIH2122,37.5940109457,1
AZD1775,DINACICLIB,CAOV3,-21.7614501444,0
MK-5108,MK-2206,ZR751,21.8990747963,1
VINBLASTINE,ERLOTINIB,A375,45.2215770262,1
ZOLINZA,MK-5108,SW837,11.7789591952,1
LAPATINIB,ERLOTINIB,RKO,-12.1504920681,0
MRK-003,CYCLOPHOSPHAMIDE,RKO,-2.2390360918,0
PACLITAXEL,MK-8669,HCT116,-14.1666775639,0
MRK-003,SUNITINIB,ZR751,-1.8824740171,0
L778123,PD325901,T47D,-14.863715454,0
MK-5108,MK-4827,HT29,20.0138584834,1
BEZ-235,DINACICLIB,SKOV3,-15.4779097444,0
GEMCITABINE,MK-4827,SW620,-1.4785746985,0
ZOLINZA,GELDANAMYCIN,RPMI7951,-18.7707746859,0
LAPATINIB,ABT-888,PA1,16.0396075564,1
MRK-003,TEMOZOLOMIDE,VCAP,-0.1063694656,0
ERLOTINIB,MK-8669,KPL1,46.7558286107,1
TOPOTECAN,MK-8776,RPMI7951,-3.257305398,0
MK-4541,L778123,HT29,14.7007356145,1
CARBOPLATIN,SORAFENIB,OV90,-14.7353711508,0
VINORELBINE,ERLOTINIB,SKMEL30,23.0419294623,1
MRK-003,MITOMYCINE,RKO,-9.27179112,0
VINBLASTINE,MK-4827,HCT116,-9.1481598272,0
VINBLASTINE,AZD1775,T47D,-23.2285267741,0
TEMOZOLOMIDE,BORTEZOMIB,SKMEL30,-0.9508854521,0
AZD1775,MK-2206,VCAP,-9.6055362781,0
MITOMYCINE,MK-8669,NCIH460,14.1114733848,1
MRK-003,MK-8669,NCIH23,12.3829791317,1
MRK-003,GELDANAMYCIN,T47D,14.1340271395,1
MITOMYCINE,GELDANAMYCIN,NCIH460,-6.8571794227,0
PACLITAXEL,DINACICLIB,SW837,-18.1565129496,0
MK-4541,VINBLASTINE,ES2,-5.3385545251,0
ZOLINZA,GELDANAMYCIN,SW837,-9.9046770042,0
PACLITAXEL,BORTEZOMIB,A427,-16.9628116804,0
BORTEZOMIB,SORAFENIB,A375,-1.5107916969,0
LAPATINIB,BORTEZOMIB,T47D,-31.4036584595,0
VINORELBINE,BEZ-235,SKOV3,19.3368476136,1
TEMOZOLOMIDE,MK-8776,NCIH2122,-19.66458168475,0
DASATINIB,OXALIPLATIN,VCAP,-12.6956421949,0
MK-5108,PD325901,UWB1289,27.367850064,1
CYCLOPHOSPHAMIDE,ZOLINZA,SKMES1,18.4624720859,1
PACLITAXEL,DINACICLIB,NCIH2122,-15.9745645856,0
METHOTREXATE,SORAFENIB,NIHOVCAR3,-26.5596587965,0
CARBOPLATIN,MK-4827,NIHOVCAR3,16.5385326387,1
DOXORUBICIN,BEZ-235,NCIH1650,16.5605764104,1
MK-5108,MK-8776,OV90,-5.5219530687,0
PD325901,BORTEZOMIB,HCT116,-5.0008415975,0
MK-8669,SN-38,A2058,13.356832591,1
DASATINIB,MK-8669,SKOV3,28.797421563,1
L778123,MK-2206,PA1,27.6267184598,1
METHOTREXATE,TEMOZOLOMIDE,A427,-12.8981197193,0
MK-2206,PD325901,HT29,40.046701438,1
AZD1775,ERLOTINIB,CAOV3,23.6353128218,1
CYCLOPHOSPHAMIDE,MK-4827,NCIH460,-1.0917274063,0
AZD1775,MK-8776,UACC62,43.1869855307,1
MK-4827,MK-8669,RPMI7951,19.8565546335,1
VINORELBINE,BEZ-235,HT29,-8.9775010025,0
DASATINIB,BEZ-235,NCIH23,58.2880445173,1
DEXAMETHASONE,MK-8776,NCIH23,-1.7931038018,0
VINBLASTINE,ZOLINZA,A375,-31.3151973374,0
TEMOZOLOMIDE,MK-8669,NIHOVCAR3,19.1541205073,1
PACLITAXEL,BORTEZOMIB,SKOV3,-6.7563489003,0
ZOLINZA,DASATINIB,A375,-11.3083016229,0
ZOLINZA,ERLOTINIB,OV90,12.9602468131,1
ZOLINZA,TEMOZOLOMIDE,A2058,24.5398278072,1
TEMOZOLOMIDE,OXALIPLATIN,RKO,25.1805488024,1
VINBLASTINE,BORTEZOMIB,ZR751,-32.2912577576,0
L778123,PD325901,NCIH460,15.514856362,1
CARBOPLATIN,SUNITINIB,SW837,-12.8504628075,0
TEMOZOLOMIDE,SN-38,NCIH23,-19.7670437527,0
VINORELBINE,ERLOTINIB,DLD1,42.2515056263,1
PACLITAXEL,TEMOZOLOMIDE,NIHOVCAR3,-19.6397745088,0
VINBLASTINE,L778123,NCIH460,29.7434074537,1
LAPATINIB,TOPOTECAN,HT144,10.1313738441,1
LAPATINIB,MK-5108,NCIH2122,-11.369721535,0
DOXORUBICIN,ERLOTINIB,NCIH520,-3.8243867166,0
METFORMIN,DASATINIB,A2058,17.0314701547,1
VINBLASTINE,AZD1775,NCIH1650,11.3557688214,1
METFORMIN,L778123,HT144,-0.5471476877,0
ETOPOSIDE,LAPATINIB,NCIH520,17.8898733998,1
DEXAMETHASONE,SORAFENIB,A375,15.8665527335,1
MK-5108,DINACICLIB,VCAP,-21.4325734134,0
VINORELBINE,MK-8669,SKMES1,10.7558153338,1
L778123,DINACICLIB,NCIH2122,10.4852772577,1
MK-4541,SN-38,A375,10.5195208795,1
SUNITINIB,MK-8669,A375,30.1406226081,1
CARBOPLATIN,ERLOTINIB,NCIH1650,-7.9765129414,0
TEMOZOLOMIDE,SN-38,DLD1,-14.2317980725,0
MK-4827,ABT-888,LOVO,-10.491603174,0
SUNITINIB,PD325901,UWB1289,18.6690102298,1
ETOPOSIDE,MK-5108,MDAMB436,15.008198762,1
MK-2206,MK-8669,HCT116,19.41205012885,1
MITOMYCINE,AZD1775,A375,18.7578725846,1
GEMCITABINE,PD325901,A427,17.9647359535,1
MK-5108,BORTEZOMIB,RPMI7951,-8.2179252352,0
ETOPOSIDE,AZD1775,OV90,-0.1177371227,0
MK-5108,ABT-888,NCIH520,-4.4146568474,0
AZD1775,SN-38,NCIH1650,21.2251284305,1
LAPATINIB,TOPOTECAN,NCIH2122,20.9625139325,1
L778123,ETOPOSIDE,A2058,24.9439129015,1
MK-4541,LAPATINIB,NCIH460,-12.8660021531,0
MK-8669,OXALIPLATIN,A2780,-6.0302368667,0
DASATINIB,OXALIPLATIN,A2058,25.6728947281,1
LAPATINIB,TOPOTECAN,NCIH520,-2.3058571455,0
BORTEZOMIB,SN-38,SKMEL30,-13.0243512546,0
MRK-003,MK-5108,NCIH2122,-22.0561975075,0
5-FU,AZD1775,T47D,10.0383629005,1
CARBOPLATIN,ERLOTINIB,NCIH2122,12.0484571669,1
5-FU,BEZ-235,SKMEL30,-73.1384016545,0
CARBOPLATIN,MK-8669,SKOV3,24.8756293908,1
DOXORUBICIN,ERLOTINIB,VCAP,12.4144753374,1
MRK-003,ABT-888,LOVO,10.2176357775,1
METHOTREXATE,DINACICLIB,RKO,-11.6159930717,0
CYCLOPHOSPHAMIDE,TEMOZOLOMIDE,NCIH460,16.291011527,1
MITOMYCINE,DASATINIB,SKMEL30,-24.0323519733,0
L778123,ZOLINZA,ES2,11.1222872579,1
MK-5108,MK-8776,SW837,-9.9323288082,0
DASATINIB,BEZ-235,SKOV3,40.898123867,1
5-FU,DASATINIB,SKMEL30,-4.6186948142,0
DEXAMETHASONE,ERLOTINIB,A375,-1.7708371853,0
VINORELBINE,MK-5108,A427,-13.8316944329,0
ERLOTINIB,DINACICLIB,T47D,-1.0935657219,0
CYCLOPHOSPHAMIDE,MK-8776,HT144,11.4108212503,1
METHOTREXATE,BORTEZOMIB,A375,-16.8954985307,0
ERLOTINIB,MK-8669,SW837,34.6885337831,1
METFORMIN,L778123,NIHOVCAR3,-6.848212054,0
TEMOZOLOMIDE,MK-2206,RPMI7951,24.9711719376,1
SUNITINIB,TEMOZOLOMIDE,UACC62,11.3085616988,1
CARBOPLATIN,AZD1775,RKO,11.3336169165,1
MRK-003,DASATINIB,SW620,16.7846402091,1
CARBOPLATIN,DASATINIB,MDAMB436,22.7650507864,1
5-FU,MK-5108,NCIH1650,-0.6599837702,0
PACLITAXEL,BORTEZOMIB,RKO,-13.9087760483,0
MK-2206,DASATINIB,SKOV3,33.256200586,1
METHOTREXATE,MK-8776,A2780,-1.0263792361,0
DOXORUBICIN,SORAFENIB,LOVO,-15.2978635267,0
PD325901,BEZ-235,DLD1,41.1917892359,1
METFORMIN,ZOLINZA,A427,-17.1473976872,0
METFORMIN,DASATINIB,SW837,11.4169244753,1
ERLOTINIB,ABT-888,NCIH460,-6.5156533334,0
GEMCITABINE,SORAFENIB,DLD1,-0.5854110629,0
MK-2206,GELDANAMYCIN,NCIH520,-23.096268297,0
MITOMYCINE,MK-2206,NCIH1650,12.3288085451,1
MK-5108,PD325901,SKOV3,22.3996508801,1
METFORMIN,BEZ-235,ES2,11.5337496469,1
SUNITINIB,LAPATINIB,NCIH520,14.8363795609,1
ABT-888,MK-8776,NCIH2122,-7.6007349185,0
ZOLINZA,ABT-888,NIHOVCAR3,18.9400012912,1
VINORELBINE,DASATINIB,SKMES1,10.2166227416,1
LAPATINIB,MK-8669,NCIH460,-4.4267411544,0
AZD1775,OXALIPLATIN,NCIH2122,-8.8805591991,0
MRK-003,PD325901,SKOV3,10.4396689154,1
METHOTREXATE,ZOLINZA,PA1,-23.66584439,0
MITOMYCINE,SORAFENIB,A2780,-23.4816252901,0
SN-38,SORAFENIB,MDAMB436,-5.486009226,0
MRK-003,LAPATINIB,LOVO,56.24164430845,1
SUNITINIB,MK-2206,RKO,15.7946457585,1
BEZ-235,SN-38,CAOV3,11.924871224,1
BORTEZOMIB,MK-8776,SW620,17.0450851938,1
MITOMYCINE,TEMOZOLOMIDE,SKOV3,-13.4513475765,0
L778123,AZD1775,UACC62,16.9817481886,1
TEMOZOLOMIDE,MK-4827,NCIH1650,34.61146716075,1
GELDANAMYCIN,MK-8776,SKMES1,-23.431713112,0
ETOPOSIDE,DASATINIB,RPMI7951,15.5029159802,1
MK-2206,BEZ-235,ZR751,36.7535802396,1
AZD1775,ERLOTINIB,SW837,26.3397184904,1
AZD1775,OXALIPLATIN,HT144,-3.3525138798,0
ABT-888,MK-8776,NCIH460,-0.2963538419,0
L778123,ETOPOSIDE,CAOV3,60.15290274,1
BORTEZOMIB,TOPOTECAN,VCAP,-13.3192031697,0
MRK-003,PD325901,SW620,-5.5406813787,0
METHOTREXATE,SORAFENIB,SKMEL30,-20.9298385703,0
ERLOTINIB,PD325901,ES2,13.9907621153,1
MITOMYCINE,MK-8669,ZR751,22.1722179122,1
SUNITINIB,MK-2206,ES2,11.9780176444,1
MRK-003,DOXORUBICIN,RKO,-10.0822789195,0
MK-4541,DOXORUBICIN,NIHOVCAR3,-7.536110647,0
GEMCITABINE,DASATINIB,CAOV3,-0.6113663925,0
METHOTREXATE,MK-4827,CAOV3,-12.5577389493,0
CYCLOPHOSPHAMIDE,SUNITINIB,SW837,-1.079094363,0
MK-4541,METFORMIN,NIHOVCAR3,-26.2872800827,0
ZOLINZA,TOPOTECAN,VCAP,23.4385470478,1
METFORMIN,PD325901,ES2,-7.0962446452,0
ABT-888,TOPOTECAN,A2780,11.8621326468,1
L778123,PD325901,SKMEL30,25.3944045796,1
TEMOZOLOMIDE,AZD1775,CAOV3,14.2226414403,1
SUNITINIB,PD325901,HT29,14.0149626194,1
TEMOZOLOMIDE,MK-4827,CAOV3,88.2217863355,1
MITOMYCINE,PD325901,OV90,37.9206365787,1
METFORMIN,DASATINIB,A375,-5.2608855058,0
CYCLOPHOSPHAMIDE,ERLOTINIB,T47D,26.1848918333,1
ABT-888,SORAFENIB,SW620,15.8963708584,1
MRK-003,DEXAMETHASONE,UWB1289,-2.7003947349,0
VINBLASTINE,ERLOTINIB,MDAMB436,15.6919735329,1
METFORMIN,MK-5108,NCIH520,-1.0704940527,0
MK-4827,MK-8669,UWB1289,27.9579579223,1
DOXORUBICIN,MK-4827,A2780,-0.5255393078,0
